subject,game,game_name,day,bout_length,cross2,bout_class
sub_1,1,Pong,2,8,80,Short
sub_1,1,Pong,2,2,80,Short
sub_1,1,Pong,2,131,80,Long
sub_1,1,Pong,2,8,80,Short
sub_1,1,Pong,2,19,80,Short
sub_1,1,Pong,2,34,80,Short
sub_1,1,Pong,2,156,80,Long
sub_1,1,Pong,2,51,80,Short
sub_1,1,Pong,2,23,80,Short
sub_1,1,Pong,2,157,80,Long
sub_1,1,Pong,2,224,80,Long
sub_1,1,Pong,2,56,80,Short
sub_1,1,Pong,2,18,80,Short
sub_1,1,Pong,2,14,80,Short
sub_1,1,Pong,2,116,80,Long
sub_1,1,Pong,2,132,80,Long
sub_1,1,Pong,2,16,80,Short
sub_1,1,Pong,2,31,80,Short
sub_1,1,Pong,2,36,80,Short
sub_1,1,Pong,2,8,80,Short
sub_1,1,Pong,2,205,80,Long
sub_1,1,Pong,2,22,80,Short
sub_1,1,Pong,2,4,80,Short
sub_1,1,Pong,2,43,80,Short
sub_1,1,Pong,2,12,80,Short
sub_1,1,Pong,2,36,80,Short
sub_1,1,Pong,2,44,80,Short
sub_1,1,Pong,2,17,80,Short
sub_1,1,Pong,2,29,80,Short
sub_1,1,Pong,2,12,80,Short
sub_1,1,Pong,2,7,80,Short
sub_1,1,Pong,2,4,80,Short
sub_1,1,Pong,2,124,80,Long
sub_1,1,Pong,2,22,80,Short
sub_1,1,Pong,2,109,80,Long
sub_1,1,Pong,2,17,80,Short
sub_1,1,Pong,2,54,80,Short
sub_1,1,Pong,2,11,80,Short
sub_1,1,Pong,2,152,80,Long
sub_1,1,Pong,2,12,80,Short
sub_1,1,Pong,2,11,80,Short
sub_1,1,Pong,2,8,80,Short
sub_1,1,Pong,2,59,80,Short
sub_1,1,Pong,2,17,80,Short
sub_1,1,Pong,2,16,80,Short
sub_1,1,Pong,2,44,80,Short
sub_1,1,Pong,2,108,80,Long
sub_1,1,Pong,2,12,80,Short
sub_1,1,Pong,2,20,80,Short
sub_1,1,Pong,2,66,80,Short
sub_1,1,Pong,2,154,80,Long
sub_1,1,Pong,2,4,80,Short
sub_1,1,Pong,2,8,80,Short
sub_1,1,Pong,2,26,80,Short
sub_1,1,Pong,2,25,80,Short
sub_1,1,Pong,2,14,80,Short
sub_1,1,Pong,2,33,80,Short
sub_1,1,Pong,2,4,80,Short
sub_1,1,Pong,2,47,80,Short
sub_1,1,Pong,2,9,80,Short
sub_1,1,Pong,2,5,80,Short
sub_1,1,Pong,2,3,80,Short
sub_1,1,Pong,2,53,80,Short
sub_1,1,Pong,2,5,80,Short
sub_1,1,Pong,2,51,80,Short
sub_1,1,Pong,2,10,80,Short
sub_1,1,Pong,2,56,80,Short
sub_1,1,Pong,2,13,80,Short
sub_1,1,Pong,2,150,80,Long
sub_1,1,Pong,2,9,80,Short
sub_1,1,Pong,2,4,80,Short
sub_1,1,Pong,2,43,80,Short
sub_1,1,Pong,2,40,80,Short
sub_1,1,Pong,2,13,80,Short
sub_1,1,Pong,2,19,80,Short
sub_1,1,Pong,2,42,80,Short
sub_1,1,Pong,2,9,80,Short
sub_1,1,Pong,2,90,80,Long
sub_1,1,Pong,2,16,80,Short
sub_1,1,Pong,2,19,80,Short
sub_1,1,Pong,2,15,80,Short
sub_1,1,Pong,2,21,80,Short
sub_1,1,Pong,2,12,80,Short
sub_1,1,Pong,2,10,80,Short
sub_1,1,Pong,2,106,80,Long
sub_1,1,Pong,2,38,80,Short
sub_1,1,Pong,2,24,80,Short
sub_1,1,Pong,2,44,80,Short
sub_1,1,Pong,2,153,80,Long
sub_1,1,Pong,2,33,80,Short
sub_1,1,Pong,2,30,80,Short
sub_1,1,Pong,2,10,80,Short
sub_1,1,Pong,2,142,80,Long
sub_1,1,Pong,2,10,80,Short
sub_1,1,Pong,2,41,80,Short
sub_1,1,Pong,2,27,80,Short
sub_1,1,Pong,2,96,80,Long
sub_1,1,Pong,2,109,80,Long
sub_1,1,Pong,2,20,80,Short
sub_1,1,Pong,2,172,80,Long
sub_1,1,Pong,2,29,80,Short
sub_1,1,Pong,2,13,80,Short
sub_1,1,Pong,2,141,80,Long
sub_1,1,Pong,2,8,80,Short
sub_1,1,Pong,2,42,80,Short
sub_1,1,Pong,2,19,80,Short
sub_1,1,Pong,2,95,80,Long
sub_1,1,Pong,2,57,80,Short
sub_1,1,Pong,2,24,80,Short
sub_1,1,Pong,2,12,80,Short
sub_1,1,Pong,2,20,80,Short
sub_1,1,Pong,2,151,80,Long
sub_1,1,Pong,2,25,80,Short
sub_1,1,Pong,2,36,80,Short
sub_1,1,Pong,2,14,80,Short
sub_1,1,Pong,2,38,80,Short
sub_1,1,Pong,2,98,80,Long
sub_1,1,Pong,2,22,80,Short
sub_1,1,Pong,2,14,80,Short
sub_1,1,Pong,2,28,80,Short
sub_1,1,Pong,2,55,80,Short
sub_1,1,Pong,2,86,80,Long
sub_1,1,Pong,2,39,80,Short
sub_1,1,Pong,2,30,80,Short
sub_1,1,Pong,2,57,80,Short
sub_1,1,Pong,2,31,80,Short
sub_1,1,Pong,2,60,80,Short
sub_1,1,Pong,2,36,80,Short
