subject,subject_label,session,block,game_id,game_name,episode_index,n_withholding_preceded,n_not_preceded,reward_withholding_preceded_mean,reward_not_preceded_mean,reward_difference,episode_label
sub-002,S2,2,9,2,SpaceInvaders,0,84,766,0.5357142857142857,0.6462140992167101,-0.11049981350242444,ses02-block09-ep00
sub-002,S2,2,9,2,SpaceInvaders,1,151,1522,1.1258278145695364,0.7457293035479632,0.3800985110215732,ses02-block09-ep01
sub-002,S2,2,9,2,SpaceInvaders,2,176,1717,0.3693181818181818,1.4589400116482236,-1.0896218298300417,ses02-block09-ep02
sub-002,S2,2,9,2,SpaceInvaders,3,129,1489,1.317829457364341,0.7353928811282741,0.5824365762360669,ses02-block09-ep03
sub-002,S2,2,9,2,SpaceInvaders,4,407,4642,1.2285012285012284,0.8660060318828091,0.36249519661841934,ses02-block09-ep04
sub-002,S2,3,1,2,SpaceInvaders,0,162,1813,1.3888888888888888,0.5350248207391064,0.8538640681497824,ses03-block01-ep00
sub-002,S2,3,1,2,SpaceInvaders,1,134,1596,1.1567164179104477,1.3251879699248121,-0.16847155201436448,ses03-block01-ep01
sub-002,S2,3,1,2,SpaceInvaders,2,280,3458,0.8928571428571429,0.8863504916136495,0.0065066512434933665,ses03-block01-ep02
sub-002,S2,3,1,2,SpaceInvaders,3,313,3462,1.1501597444089458,0.8102253032928943,0.3399344411160514,ses03-block01-ep03
sub-002,S2,3,1,2,SpaceInvaders,4,68,599,1.6911764705882353,1.1018363939899833,0.5893400765982519,ses03-block01-ep04
sub-002,S2,3,4,2,SpaceInvaders,0,93,818,1.075268817204301,0.7518337408312958,0.32343507637300517,ses03-block04-ep00
sub-002,S2,3,4,2,SpaceInvaders,1,247,2558,0.728744939271255,0.8932759968725567,-0.1645310576013016,ses03-block04-ep01
sub-002,S2,3,4,2,SpaceInvaders,2,374,4164,1.0828877005347595,1.037463976945245,0.04542372358951452,ses03-block04-ep02
sub-002,S2,3,4,2,SpaceInvaders,3,238,2633,1.0294117647058822,0.8963159893657425,0.13309577534013972,ses03-block04-ep03
sub-002,S2,3,7,2,SpaceInvaders,0,463,5655,1.123110151187905,0.8912466843501327,0.23186346683777226,ses03-block07-ep00
sub-002,S2,3,7,2,SpaceInvaders,1,253,3292,0.4743083003952569,0.7578979343863913,-0.2835896339911344,ses03-block07-ep01
sub-002,S2,3,7,2,SpaceInvaders,2,90,841,0.8333333333333334,0.6123662306777645,0.22096710265556885,ses03-block07-ep02
sub-002,S2,4,1,2,SpaceInvaders,0,109,1000,0.7339449541284404,0.715,0.01894495412844044,ses04-block01-ep00
sub-002,S2,4,1,2,SpaceInvaders,1,101,1147,1.5841584158415842,0.5056669572798606,1.0784914585617238,ses04-block01-ep01
sub-002,S2,4,1,2,SpaceInvaders,2,430,4536,0.9534883720930233,1.004188712522046,-0.050700340429022606,ses04-block01-ep02
sub-002,S2,4,1,2,SpaceInvaders,3,94,1013,0.9042553191489362,0.47877591312931883,0.42547940601961737,ses04-block01-ep03
sub-002,S2,4,1,2,SpaceInvaders,4,136,1540,0.8455882352941176,0.6201298701298701,0.22545836516424755,ses04-block01-ep04
sub-002,S2,4,1,2,SpaceInvaders,5,20,161,1.25,0.8695652173913043,0.3804347826086957,ses04-block01-ep05
sub-002,S2,4,4,2,SpaceInvaders,0,377,4248,1.0212201591511936,0.6073446327683616,0.413875526382832,ses04-block04-ep00
sub-002,S2,4,4,2,SpaceInvaders,1,127,1764,0.8661417322834646,0.6660997732426304,0.20004195904083422,ses04-block04-ep01
sub-002,S2,4,4,2,SpaceInvaders,2,134,1751,1.007462686567164,0.7452884066247858,0.2621742799423783,ses04-block04-ep02
sub-002,S2,4,4,2,SpaceInvaders,3,230,2380,0.8913043478260869,1.0735294117647058,-0.18222506393861893,ses04-block04-ep03
sub-002,S2,4,7,2,SpaceInvaders,0,406,4378,0.8374384236453202,1.0655550479671083,-0.22811662432178814,ses04-block07-ep00
sub-002,S2,4,7,2,SpaceInvaders,1,131,1605,1.717557251908397,0.7570093457943925,0.9605479061140045,ses04-block07-ep01
sub-002,S2,4,7,2,SpaceInvaders,2,281,2940,0.6227758007117438,0.9778911564625851,-0.3551153557508413,ses04-block07-ep02
sub-003,S3,1,2,0,Enduro,0,124,11313,0.0967741935483871,0.06576504905860514,0.031009144489781953,ses01-block02-ep00
sub-003,S3,1,4,0,Enduro,0,60,12873,0.06666666666666667,0.07535151091431679,-0.00868484424765012,ses01-block04-ep00
sub-003,S3,2,1,0,Enduro,0,127,12189,0.14960629921259844,0.064894577077693,0.08471172213490544,ses02-block01-ep00
sub-003,S3,2,3,0,Enduro,0,152,12429,0.14473684210526316,0.06436559658862338,0.08037124551663978,ses02-block03-ep00
sub-003,S3,2,6,0,Enduro,0,112,11257,0.07142857142857142,0.07515323798525363,-0.003724666556682202,ses02-block06-ep00
sub-003,S3,3,3,0,Enduro,0,175,10346,0.12571428571428572,0.06321283587860042,0.0625014498356853,ses03-block03-ep00
sub-003,S3,3,5,0,Enduro,0,129,11089,0.14728682170542637,0.05789521147082695,0.08939161023459942,ses03-block05-ep00
sub-003,S3,3,9,0,Enduro,0,107,10912,0.14018691588785046,0.06634897360703812,0.07383794228081234,ses03-block09-ep00
sub-003,S3,4,1,0,Enduro,0,175,9954,0.16,0.05756479807112719,0.10243520192887282,ses04-block01-ep00
sub-003,S3,4,4,0,Enduro,0,124,10206,0.12096774193548387,0.06515775034293553,0.05580999159254835,ses04-block04-ep00
sub-003,S3,4,8,0,Enduro,0,237,6966,0.14767932489451477,0.04220499569336779,0.10547432920114698,ses04-block08-ep00
sub-003,S3,1,3,1,Pong,0,243,1922,-0.00411522633744856,-0.023933402705515087,0.01981817636806653,ses01-block03-ep00
sub-003,S3,1,6,1,Pong,0,185,2941,-0.005405405405405406,-0.004420265215912955,-0.000985140189492451,ses01-block06-ep00
sub-003,S3,2,5,1,Pong,0,175,1528,0.0,-0.011780104712041885,0.011780104712041885,ses02-block05-ep00
sub-003,S3,2,7,1,Pong,0,165,1135,0.0,-0.027312775330396475,0.027312775330396475,ses02-block07-ep00
sub-003,S3,2,9,1,Pong,0,39,295,0.0,-0.01694915254237288,0.01694915254237288,ses02-block09-ep00
sub-003,S3,3,2,1,Pong,0,130,1058,0.0,-0.015122873345935728,0.015122873345935728,ses03-block02-ep00
sub-003,S3,3,6,1,Pong,0,161,1426,0.0,-0.024544179523141654,0.024544179523141654,ses03-block06-ep00
sub-003,S3,3,8,1,Pong,0,133,1434,-0.007518796992481203,-0.017433751743375175,0.009914954750893972,ses03-block08-ep00
sub-003,S3,4,3,1,Pong,0,109,798,0.0,-0.02506265664160401,0.02506265664160401,ses04-block03-ep00
sub-003,S3,4,5,1,Pong,0,91,677,-0.01098901098901099,-0.019202363367799114,0.008213352378788124,ses04-block05-ep00
sub-003,S3,4,7,1,Pong,0,126,1150,0.0,-0.013043478260869565,0.013043478260869565,ses04-block07-ep00
sub-003,S3,1,1,2,SpaceInvaders,0,182,3218,0.6593406593406593,0.5422622747047856,0.11707838463587372,ses01-block01-ep00
sub-003,S3,1,1,2,SpaceInvaders,1,274,2726,1.0401459854014599,0.4842259721203228,0.555920013281137,ses01-block01-ep01
sub-003,S3,1,1,2,SpaceInvaders,2,218,2437,0.9862385321100917,0.613459171112023,0.37277936099806874,ses01-block01-ep02
