field,dtype,per_step_shape,feature_dim,action_id,action_label,num_real_steps,mean_value,std_value,min_value,max_value,avg_l2_norm
root_r,float32,"(1,)",1,1,FIRE,13267,0.056531242933594635,0.2309447152588202,0.0,1.0,0.056531242933594635
root_r,float32,"(1,)",1,2,RIGHT,432,0.020833333333333332,0.1428261375083551,0.0,1.0,0.020833333333333332
root_r,float32,"(1,)",1,3,LEFT,1791,0.01786711334450028,0.13246840983885577,0.0,1.0,0.01786711334450028
root_r,float32,"(1,)",1,4,RIGHTFIRE,16109,0.060090632565646535,0.23765468319287755,0.0,1.0,0.060090632565646535
root_r,float32,"(1,)",1,5,LEFTFIRE,11068,0.049241055294542826,0.21637091710306772,0.0,1.0,0.049241055294542826
root_trail_r,float32,"(1,)",1,0,NOOP,1139,0.3483257768002068,0.5563089694166812,-0.20746901631355286,6.430048942565918,0.35972653241366537
root_trail_r,float32,"(1,)",1,1,FIRE,13267,0.3815167120246504,0.8129190335524069,-0.20179922878742218,10.298155784606934,0.3901727868258027
root_trail_r,float32,"(1,)",1,2,RIGHT,432,0.5270598358624907,0.5507796199589635,-0.21107350289821625,4.388180732727051,0.5358325378112769
root_trail_r,float32,"(1,)",1,3,LEFT,1791,0.35899282642896924,0.6209719169472417,-0.3407518267631531,5.259527206420898,0.3858281479577928
root_trail_r,float32,"(1,)",1,4,RIGHTFIRE,16109,0.33397431279695444,0.707837330737903,-0.2922664284706116,9.201895713806152,0.3383234736112534
root_trail_r,float32,"(1,)",1,5,LEFTFIRE,11068,0.32731678367845213,0.8060887368027773,-0.33369529247283936,18.74848175048828,0.33580653544618144
root_v,float32,"(1,)",1,0,NOOP,1139,1.850584637972218,1.2066965911211753,-0.48374563455581665,8.890359878540039,1.8533597323091748
root_v,float32,"(1,)",1,1,FIRE,13267,4.686643911555512,2.0473746625856415,-0.3286905288696289,19.967466354370117,4.686961914232056
root_v,float32,"(1,)",1,2,RIGHT,432,1.8767961480965216,0.9988632068061453,-0.008209552615880966,5.8111066818237305,1.8768341552845582
root_v,float32,"(1,)",1,3,LEFT,1791,1.7407149879427213,1.3100705148369787,-0.2441524863243103,7.395359516143799,1.7418883030288783
root_v,float32,"(1,)",1,4,RIGHTFIRE,16109,4.820496872118444,2.146613235894534,-0.418224036693573,11.992599487304688,4.820929505949074
root_v,float32,"(1,)",1,5,LEFTFIRE,11068,4.437569666977327,1.5394459885801313,-0.3697693943977356,25.950376510620117,4.437802875762853
